=== ANÁLISIS LÉXICO ===
TOKEN			LEXEMA		LINEA		COLUMNA
----------------------------------------
OUTPUT                   	output         	68	2
IDENTIFIER               	b1             	68	10
DELIMITER                	$              	68	14
OUTPUT                   	output         	69	2
IDENTIFIER               	true           	69	10
DELIMITER                	$              	69	16
OUTPUT                   	output         	70	2
FLOAT_LITERAL            	-6.7           	70	10
DELIMITER                	$              	70	16
RETURN                   	return         	71	2
DELIMITER                	$              	71	8
RETURN                   	return         	72	2
INT_LITERAL              	1              	72	9
PLUS_OPERATOR            	+              	72	10
IDENTIFIER               	f              	72	11
LEFT_PAREN               	є              	72	13
RIGHT_PAREN              	э              	72	16
DELIMITER                	$              	72	18
RIGHT_BLOCK              	?              	73	2
----------------------------------------------------------
=== FIN DEL ANÁLISIS ===
✓ Sin errores léxicos
