=== ANÁLISIS LÉXICO ===
TOKEN			LEXEMA		LINEA		COLUMNA
----------------------------------------
CHAR_LITERAL             	'a'            	52	17
DELIMITER                	$              	52	20
RIGHT_BLOCK              	?              	53	2
ELSE                     	else           	54	2
LEFT_BLOCK               	¿              	54	8
LET                      	let            	55	3
INT                      	int            	55	7
IDENTIFIER               	y              	55	11
DELIMITER                	$              	55	12
LET                      	let            	56	3
STRING                   	string         	56	7
IDENTIFIER               	str2           	56	14
ASSIGN                   	=              	56	18
STRING_LITERAL           	"sdff"         	56	19
DELIMITER                	$              	56	25
RIGHT_BLOCK              	?              	57	2
FOR                      	for            	59	2
LEFT_PAREN               	є              	59	6
LET                      	let            	59	8
INT                      	int            	59	12
IDENTIFIER               	i              	59	16
ASSIGN                   	=              	59	17
INT_LITERAL              	0              	59	18
DELIMITER                	$              	59	19
STEP                     	step           	59	21
INT_LITERAL              	1              	59	26
TO                       	to             	59	28
INT_LITERAL              	10             	59	31
RIGHT_PAREN              	э              	59	34
DO                       	do             	59	36
LEFT_BLOCK               	¿              	59	40
OUTPUT                   	output         	59	42
IDENTIFIER               	i              	59	50
DELIMITER                	$              	59	53
RIGHT_BLOCK              	?              	59	55
OUTPUT                   	output         	60	2
STRING_LITERAL           	"Hola mundo"   	60	10
DELIMITER                	$              	60	24
INPUT                    	input          	61	2
IDENTIFIER               	x22            	61	9
DELIMITER                	$              	61	14
RETURN                   	return         	62	2
FLOAT_LITERAL            	-5.6           	62	9
DELIMITER                	$              	62	13
RIGHT_BLOCK              	?              	63	2
BOOL                     	bool           	65	2
IDENTIFIER               	func2          	65	7
LEFT_PAREN               	є              	65	14
BOOL                     	bool           	65	16
IDENTIFIER               	b1             	65	21
COMMA                    	,              	65	23
INT                      	int            	65	25
IDENTIFIER               	i1             	65	29
RIGHT_PAREN              	э              	65	32
LEFT_BLOCK               	¿              	65	36
LET                      	let            	66	2
INT                      	int            	66	6
IDENTIFIER               	a              	66	10
DELIMITER                	$              	66	12
RETURN                   	return         	67	2
DELIMITER                	$              	67	8
RIGHT_BLOCK              	?              	68	3
STRING                   	string         	70	1
IDENTIFIER               	func3          	70	8
LEFT_PAREN               	є              	70	15
RIGHT_PAREN              	э              	70	18
LEFT_BLOCK               	¿              	70	22
LET                      	let            	71	2
STRING                   	string         	71	6
IDENTIFIER               	b1             	71	13
DELIMITER                	$              	71	15
RETURN                   	return         	72	2
IDENTIFIER               	b1             	72	9
DELIMITER                	$              	72	11
RIGHT_BLOCK              	?              	73	3
----------------------------------------------------------
=== FIN DEL ANÁLISIS ===
✓ Sin errores léxicos
